sku,name,price,category,product_type,brand,phase,frame_size,hp,body_material,special_specs
10400081,براکت عقب ژن 63,2000000,براکت و درب,براکت عقب,موتوژن,,63.0,,آلومینیوم,
10400082,براکت عقب ژن 71,2000000,براکت و درب,براکت عقب,موتوژن,,71.0,,آلومینیوم,
10400083,براکت عقب ژن 80,2000000,براکت و درب,براکت عقب,موتوژن,,80.0,,آلومینیوم,
10400084,براکت عقب ژن 90,2100000,براکت و درب,براکت عقب,موتوژن,,90.0,,آلومینیوم,
10400085,براکت عقب ژن 100,2550000,براکت و درب,براکت عقب,موتوژن,,100.0,,آلومینیوم,
10400086,براکت عقب ژن 112,3300000,براکت و درب,براکت عقب,موتوژن,,112.0,,آلومینیوم,
10400087,براکت عقب ژن 132,4850000,براکت و درب,براکت عقب,موتوژن,,132.0,,آلومینیوم,
10400088,براکت عقب ژن 160,7000000,براکت و درب,براکت عقب,موتوژن,,160.0,,آلومینیوم,
10400071,فلنج 63 الکتروژن,6000000,فلنج الکتروموتور,فلنج,الکتروژن,,63.0,,آلومینیوم,
10400072,فلنج 71 الکتروژن,0,فلنج الکتروموتور,فلنج,الکتروژن,,71.0,,آلومینیوم,
10400073,فلنج 80 الکتروژن,8700000,فلنج الکتروموتور,فلنج,الکتروژن,,80.0,,آلومینیوم,
10400074,فلنج 90 الکتروژن,9500000,فلنج الکتروموتور,فلنج,الکتروژن,,90.0,,آلومینیوم,
10400075,فلنج 100 الکتروژن,16700000,فلنج الکتروموتور,فلنج,الکتروژن,,100.0,,آلومینیوم,
10400076,فلنج 112 الکتروژن,17500000,فلنج الکتروموتور,فلنج,الکتروژن,,112.0,,آلومینیوم,
10400077,فلنج 132 الکتروژن,0,فلنج الکتروموتور,فلنج,الکتروژن,,132.0,,آلومینیوم,
10400078,فلنج 160 الکتروژن,25000000,فلنج الکتروموتور,فلنج,الکتروژن,,160.0,,آلومینیوم,
104000712,نیم فلنج 63 الکتروژن,0,فلنج الکتروموتور,نیم‌فلنج,الکتروژن,,63.0,,آلومینیوم,
104000710,نیم فلنج 71 الکتروژن,3700000,فلنج الکتروموتور,نیم‌فلنج,الکتروژن,,71.0,,آلومینیوم,
10400079,نیم فلنج الکتروژن 80,0,فلنج الکتروموتور,نیم‌فلنج,الکتروژن,,80.0,,آلومینیوم,
104000711,نیم فلنج 90 الکتروژن,0,فلنج الکتروموتور,نیم‌فلنج,الکتروژن,,90.0,,آلومینیوم,
10000061,فلنج خروجی گیربکس مکعبی 30,2200000,فلنج خروجی گیربکس,فلنج خروجی,گیربکس مکعبی,,30.0,,آلومینیوم,استاندارد
10000063,فلنج خروجی گیربکس مکعبی 40بلند,4000000,فلنج خروجی گیربکس,فلنج خروجی,گیربکس مکعبی,,40.0,,آلومینیوم,بلند
10000062,فلنج خروجی گیربکس مکعبی 40کوتاه,3300000,فلنج خروجی گیربکس,فلنج خروجی,گیربکس مکعبی,,40.0,,آلومینیوم,کوتاه
100000616,فلنج خروجی گیربگس مکعبی50 بلند,6800000,فلنج خروجی گیربکس,فلنج خروجی,گیربکس مکعبی,,50.0,,آلومینیوم,بلند
10000064,فلنج خروجی گیربکس مکعبی 50 کوتاه,4800000,فلنج خروجی گیربکس,فلنج خروجی,گیربکس مکعبی,,50.0,,آلومینیوم,کوتاه
100000610,فلنج خروجی گیربکس مکعبی 63 بلند,6200000,فلنج خروجی گیربکس,فلنج خروجی,گیربکس مکعبی,,63.0,,آلومینیوم,بلند
100000617,فلنج خروجی گیربکس مکعبی 63 کوتاه چدن,0,فلنج خروجی گیربکس,فلنج خروجی,گیربکس مکعبی,,63.0,,چدن,کوتاه
10000065,فلنج خروجی گیربکس مکعبی 63 کوتاه,5100000,فلنج خروجی گیربکس,فلنج خروجی,گیربکس مکعبی,,63.0,,آلومینیوم,کوتاه
10000066,فلنج خروجی گیربکس مکعبی 75,9000000,فلنج خروجی گیربکس,فلنج خروجی,گیربکس مکعبی,,75.0,,آلومینیوم,استاندارد
10000067,فلنج خروجی گیربکس مکعبی 80,0,فلنج خروجی گیربکس,فلنج خروجی,گیربکس مکعبی,,80.0,,آلومینیوم,استاندارد
100000611,فلنج خروجی گیربکس مکعبی 90,9400000,فلنج خروجی گیربکس,فلنج خروجی,گیربکس مکعبی,,90.0,,آلومینیوم,استاندارد
10000068,فلنج خروجی گیربکس مکعبی 110,20000000,فلنج خروجی گیربکس,فلنج خروجی,گیربکس مکعبی,,110.0,,آلومینیوم,استاندارد
10000069,فلنج خروجی گیربکس مکعبی 130,26000000,فلنج خروجی گیربکس,فلنج خروجی,گیربکس مکعبی,,130.0,,آلومینیوم,استاندارد
104000215,دری برق ژن کوچک,460000,براکت و درب,درب ترمینال (دری برق),موتوژن,,,,آلومینیوم,
104000239,دری برق ژن متوسط,460000,براکت و درب,درب ترمینال (دری برق),موتوژن,,,,آلومینیوم,
104000240,دری برق ژن بزرگ,520000,براکت و درب,درب ترمینال (دری برق),موتوژن,,,,آلومینیوم,
104000245,دری برق چینی آلومینیوم,0,براکت و درب,درب ترمینال (دری برق),موتوژن,,,,آلومینیوم,
104000232,فلنج موتوژن 56 آلومینیوم,5000000,فلنج الکتروموتور,فلنج,موتوژن,,56.0,,آلومینیوم,
10400021,فلنج موتوژن 63,3000000,فلنج الکتروموتور,فلنج,موتوژن,,63.0,,آلومینیوم,
10400022,فلنج موتوژن 71,6000000,فلنج الکتروموتور,فلنج,موتوژن,,71.0,,آلومینیوم,
10400023,فلنج موتوژن 80,6150000,فلنج الکتروموتور,فلنج,موتوژن,,80.0,,آلومینیوم,
10400024,فلنج موتوژن 90,6250000,فلنج الکتروموتور,فلنج,موتوژن,,90.0,,آلومینیوم,
10400025,فلنج موتوژن 100,9000000,فلنج الکتروموتور,فلنج,موتوژن,,100.0,,آلومینیوم,
10400026,فلنج موتوژن 112,9400000,فلنج الکتروموتور,فلنج,موتوژن,,112.0,,آلومینیوم,
104000234,فلنج موتوژن 132 چدن,13000000,فلنج الکتروموتور,فلنج,موتوژن,,132.0,,چدن,
10400027,فلنج موتوژن 132 آلومینیوم,15700000,فلنج الکتروموتور,فلنج,موتوژن,,132.0,,آلومینیوم,
104000210,فلنج موتوژن 160چدن,18000000,فلنج الکتروموتور,فلنج,موتوژن,,160.0,,چدن,
10400029,فلنج موتوژن 160 آلومینیوم,9000000,فلنج الکتروموتور,فلنج,موتوژن,,160.0,,آلومینیوم,
104000214,فلنج موتوژن 180 چدن,0,فلنج الکتروموتور,فلنج,موتوژن,,180.0,,چدن,
104000230,فلنج 5.5 اسب موتوژن پوسته چدن,6700000,فلنج الکتروموتور,فلنج,موتوژن,,,5.5,چدن,
104000228,فلنج 10HP ژن پوسته چدن,18000000,فلنج الکتروموتور,فلنج,موتوژن,,,10.0,چدن,
104000222,فلنج 15 اسب ژن پوسته چدن,24000000,فلنج الکتروموتور,فلنج,موتوژن,,,15.0,چدن,
104000216,فلنج 30 اسب موتوژن پوسته چدن,23500000,فلنج الکتروموتور,فلنج,موتوژن,,,30.0,چدن,
104000231,فلنج 40HPموتوژن پوسته چدن,36000000,فلنج الکتروموتور,فلنج,موتوژن,,,40.0,چدن,
104000246,فلنج 60 اسب موتوژن,0,فلنج الکتروموتور,فلنج,موتوژن,,,60.0,آلومینیوم,
104000229,فلنج 100اسب سفارشی,0,فلنج الکتروموتور,فلنج,موتوژن,,,100.0,آلومینیوم,
104000241,نیم فلنج 63 موتوژن,1600000,فلنج الکتروموتور,نیم‌فلنج,موتوژن,,63.0,,آلومینیوم,
104000242,نیم فلنج 71 موتوژن,2950000,فلنج الکتروموتور,نیم‌فلنج,موتوژن,,71.0,,آلومینیوم,
104000243,نیم فلنج 80 موتوژن,2400000,فلنج الکتروموتور,نیم‌فلنج,موتوژن,,80.0,,آلومینیوم,
104000217,نیم فلنج 90 موتوژن,5150000,فلنج الکتروموتور,نیم‌فلنج,موتوژن,,90.0,,آلومینیوم,
104000244,نیم فلنج 100 موتوژن,5150000,فلنج الکتروموتور,نیم‌فلنج,موتوژن,,100.0,,آلومینیوم,
104000247,نیم فلنج 112 موتوژن,30000000,فلنج الکتروموتور,نیم‌فلنج,موتوژن,,112.0,,آلومینیوم,
104000116,فلنج چینی 0.5HP تکفاز,3350000,فلنج الکتروموتور,فلنج,چینی,تک‌فاز,,0.5,چدن,
104000118,فلنج چینی 1HP تکفاز کلاچ داخل,0,فلنج الکتروموتور,فلنج,چینی,تک‌فاز,,1.0,چدن,کلاچ داخل
104000122,فلنج چینی 1.5 HP تکفاز(145),7650000,فلنج الکتروموتور,فلنج,چینی,تک‌فاز,,1.5,چدن,قطر 145
104000133,فلنج چینی 1.5 HP تکفاز(147),7650000,فلنج الکتروموتور,فلنج,چینی,تک‌فاز,,1.5,چدن,قطر 147
104000134,فلنج چینی 1.5 HP تکفاز(148),7650000,فلنج الکتروموتور,فلنج,چینی,تک‌فاز,,1.5,چدن,قطر 148
104000139,فلنج چینی 1.5 HP تکفاز کلاج داخل,3100000,فلنج الکتروموتور,فلنج,چینی,تک‌فاز,,1.5,چدن,کلاچ داخل
104000119,فلنج چینی 2HP تکفاز(161),9500000,فلنج الکتروموتور,فلنج,چینی,تک‌فاز,,2.0,چدن,قطر 161
104000135,فلنج چینی 2HP تکفاز(167),9500000,فلنج الکتروموتور,فلنج,چینی,تک‌فاز,,2.0,چدن,قطر 167
104000120,فلنج چینی 3HP تکفاز(62),9850000,فلنج الکتروموتور,فلنج,چینی,تک‌فاز,,3.0,چدن,قطر 62
104000136,فلنج چینی 3HP تکفاز(72),9850000,فلنج الکتروموتور,فلنج,چینی,تک‌فاز,,3.0,چدن,قطر 72
10400011,فلنج 0.5 HP سه فاز آلومینیوم,2500000,فلنج الکتروموتور,فلنج,چینی,سه‌فاز,,0.5,آلومینیوم,
10400012,فلنج چینی 1HP سه فاز,4700000,فلنج الکتروموتور,فلنج,چینی,سه‌فاز,,1.0,چدن,
10400013,فلنج چینی 2HP سه فاز,5750000,فلنج الکتروموتور,فلنج,چینی,سه‌فاز,,2.0,چدن,
10400014,فلنج چینی 3HP سه فاز,7900000,فلنج الکتروموتور,فلنج,چینی,سه‌فاز,,3.0,چدن,
104000131,فلنج چینی 5.5HP سه فاز(72),8700000,فلنج الکتروموتور,فلنج,چینی,سه‌فاز,,5.5,چدن,قطر 72
10400016,فلنج چینی 5.5HP سه فاز(62),8700000,فلنج الکتروموتور,فلنج,چینی,سه‌فاز,,5.5,چدن,قطر 62
104000132,فلنج چینی 10HP سه فاز(90),12850000,فلنج الکتروموتور,فلنج,چینی,سه‌فاز,,10.0,چدن,قطر 90
10400017,فلنج چینی 10HP سه فاز(80),12850000,فلنج الکتروموتور,فلنج,چینی,سه‌فاز,,10.0,چدن,قطر 80
10400018,فلنج چینی 15HP سه فاز سه پیچ,31000000,فلنج الکتروموتور,فلنج,چینی,سه‌فاز,,15.0,چدن,سه پیچ
10400019,فلنج چینی 15HP سه فاز چهارپیچ,36000000,فلنج الکتروموتور,فلنج,چینی,سه‌فاز,,15.0,چدن,چهار پیچ
104000110,فلنج چینی 30HP سه فاز سه پیچ,38500000,فلنج الکتروموتور,فلنج,چینی,سه‌فاز,,30.0,چدن,سه پیچ
104000111,فلنج چینی 30HP سه فاز چهارپیچ,38500000,فلنج الکتروموتور,فلنج,چینی,سه‌فاز,,30.0,چدن,چهار پیچ
104000112,فلنج چینی 40HP سه فاز,47500000,فلنج الکتروموتور,فلنج,چینی,سه‌فاز,,40.0,چدن,
104000113,فلنج چینی 50HP سه فاز,80000000,فلنج الکتروموتور,فلنج,چینی,سه‌فاز,,50.0,چدن,
104000114,فلنج چینی 75HP سه فاز,0,فلنج الکتروموتور,فلنج,چینی,سه‌فاز,,75.0,چدن,
104000137,فلنج چینی 125HP سه فاز,0,فلنج الکتروموتور,فلنج,چینی,سه‌فاز,,125.0,چدن,
104000124,فلنج چینی 150HP سه فاز,0,فلنج الکتروموتور,فلنج,چینی,سه‌فاز,,150.0,چدن,
104000123,فلنج چینی 15HPپشت بسته,32000000,فلنج الکتروموتور,فلنج,چینی,,,15.0,چدن,پشت بسته
104000142,فلنج چینی 50HP جدید,80000000,فلنج الکتروموتور,فلنج,چینی,,,50.0,چدن,جدید
104000141,فلنج 90 چینی آلومینیوم,4000000,فلنج الکتروموتور,فلنج,چینی,,90.0,,آلومینیوم,
104000140,فلنج چینی 100 سه پیچ,0,فلنج الکتروموتور,فلنج,چینی,,100.0,,چدن,سه پیچ
104000121,فلنج سفارشی,5000000,فلنج الکتروموتور,فلنج,چینی,,,,چدن,
