sku,name,price,product_type,brand,phase,hp,frame_size,flange_diameter,bolt_pattern,body_material
104000116,فلنج چینی 0.5HP تکفاز,3350000,فلنج,چینی,تک‌فاز,0.5,,,,چدن
104000118,فلنج چینی 1HP تکفاز کلاچ داخل,0,فلنج,چینی,تک‌فاز,1.0,,,کلاچ داخل,چدن
104000122,فلنج چینی 1.5 HP تکفاز(145),7650000,فلنج,چینی,تک‌فاز,1.5,,145,,چدن
104000133,فلنج چینی 1.5 HP تکفاز(147),7650000,فلنج,چینی,تک‌فاز,1.5,,147,,چدن
104000134,فلنج چینی 1.5 HP تکفاز(148),7650000,فلنج,چینی,تک‌فاز,1.5,,148,,چدن
104000139,فلنج چینی 1.5 HP تکفاز کلاج داخل,3100000,فلنج,چینی,تک‌فاز,1.5,,,کلاچ داخل,چدن
104000119,فلنج چینی 2HP تکفاز(161),9500000,فلنج,چینی,تک‌فاز,2.0,,161,,چدن
104000135,فلنج چینی 2HP تکفاز(167),9500000,فلنج,چینی,تک‌فاز,2.0,,167,,چدن
104000120,فلنج چینی 3HP تکفاز(62),9850000,فلنج,چینی,تک‌فاز,3.0,,62,,چدن
104000136,فلنج چینی 3HP تکفاز(72),9850000,فلنج,چینی,تک‌فاز,3.0,,72,,چدن
10400011,فلنج 0.5 HP سه فاز آلومینیوم,2500000,فلنج,چینی,سه‌فاز,0.5,,,,آلومینیوم
10400012,فلنج چینی 1HP سه فاز,4700000,فلنج,چینی,سه‌فاز,1.0,,,,چدن
10400013,فلنج چینی 2HP سه فاز,5750000,فلنج,چینی,سه‌فاز,2.0,,,,چدن
10400014,فلنج چینی 3HP سه فاز,7900000,فلنج,چینی,سه‌فاز,3.0,,,,چدن
104000131,فلنج چینی 5.5HP سه فاز(72),8700000,فلنج,چینی,سه‌فاز,5.5,,72,,چدن
10400016,فلنج چینی 5.5HP سه فاز(62),8700000,فلنج,چینی,سه‌فاز,5.5,,62,,چدن
104000132,فلنج چینی 10HP سه فاز(90),12850000,فلنج,چینی,سه‌فاز,10.0,,90,,چدن
10400017,فلنج چینی 10HP سه فاز(80),12850000,فلنج,چینی,سه‌فاز,10.0,,80,,چدن
10400018,فلنج چینی 15HP سه فاز سه پیچ,31000000,فلنج,چینی,سه‌فاز,15.0,,,سه پیچ,چدن
10400019,فلنج چینی 15HP سه فاز چهارپیچ,36000000,فلنج,چینی,سه‌فاز,15.0,,,چهار پیچ,چدن
104000110,فلنج چینی 30HP سه فاز سه پیچ,38500000,فلنج,چینی,سه‌فاز,30.0,,,سه پیچ,چدن
104000111,فلنج چینی 30HP سه فاز چهارپیچ,38500000,فلنج,چینی,سه‌فاز,30.0,,,چهار پیچ,چدن
104000112,فلنج چینی 40HP سه فاز,47500000,فلنج,چینی,سه‌فاز,40.0,,,,چدن
104000113,فلنج چینی 50HP سه فاز,80000000,فلنج,چینی,سه‌فاز,50.0,,,,چدن
104000114,فلنج چینی 75HP سه فاز,0,فلنج,چینی,سه‌فاز,75.0,,,,چدن
104000137,فلنج چینی 125HP سه فاز,0,فلنج,چینی,سه‌فاز,125.0,,,,چدن
104000124,فلنج چینی 150HP سه فاز,0,فلنج,چینی,سه‌فاز,150.0,,,,چدن
104000123,فلنج چینی 15HPپشت بسته,32000000,فلنج,چینی,,15.0,,,پشت بسته,چدن
104000142,فلنج چینی 50HP جدید,80000000,فلنج,چینی,,50.0,,,جدید,چدن
104000141,فلنج 90 چینی آلومینیوم,4000000,فلنج,چینی,,,90.0,,,آلومینیوم
104000140,فلنج چینی 100 سه پیچ,0,فلنج,چینی,,,100.0,,سه پیچ,چدن
104000121,فلنج سفارشی,5000000,فلنج,چینی,,,,,,چدن
