sku,name,price,flange_type,brand,frame_size
10400071,فلنج 63 الکتروژن,6000000,فلنج,الکتروژن,63
10400072,فلنج 71 الکتروژن,0,فلنج,الکتروژن,71
10400073,فلنج 80 الکتروژن,8700000,فلنج,الکتروژن,80
10400074,فلنج 90 الکتروژن,9500000,فلنج,الکتروژن,90
10400075,فلنج 100 الکتروژن,16700000,فلنج,الکتروژن,100
10400076,فلنج 112 الکتروژن,17500000,فلنج,الکتروژن,112
10400077,فلنج 132 الکتروژن,0,فلنج,الکتروژن,132
10400078,فلنج 160 الکتروژن,25000000,فلنج,الکتروژن,160
104000712,نیم فلنج 63 الکتروژن,0,نیم‌فلنج,الکتروژن,63
104000710,نیم فلنج 71 الکتروژن,3700000,نیم‌فلنج,الکتروژن,71
10400079,نیم فلنج الکتروژن 80,0,نیم‌فلنج,الکتروژن,80
104000711,نیم فلنج 90 الکتروژن,0,نیم‌فلنج,الکتروژن,90
