sku,name,price,product_type,brand,frame_size,hp,body_material
104000215,دری برق ژن کوچک,460000,درب ترمینال (دری برق),موتوژن,,,آلومینیوم
104000239,دری برق ژن متوسط,460000,درب ترمینال (دری برق),موتوژن,,,آلومینیوم
104000240,دری برق ژن بزرگ,520000,درب ترمینال (دری برق),موتوژن,,,آلومینیوم
104000245,دری برق چینی آلومینیوم,0,درب ترمینال (دری برق),موتوژن,,,آلومینیوم
104000232,فلنج موتوژن 56 آلومینیوم,5000000,فلنج,موتوژن,56.0,,آلومینیوم
10400021,فلنج موتوژن 63,3000000,فلنج,موتوژن,63.0,,آلومینیوم
10400022,فلنج موتوژن 71,6000000,فلنج,موتوژن,71.0,,آلومینیوم
10400023,فلنج موتوژن 80,6150000,فلنج,موتوژن,80.0,,آلومینیوم
10400024,فلنج موتوژن 90,6250000,فلنج,موتوژن,90.0,,آلومینیوم
10400025,فلنج موتوژن 100,9000000,فلنج,موتوژن,100.0,,آلومینیوم
10400026,فلنج موتوژن 112,9400000,فلنج,موتوژن,112.0,,آلومینیوم
104000234,فلنج موتوژن 132 چدن,13000000,فلنج,موتوژن,132.0,,چدن
10400027,فلنج موتوژن 132 آلومینیوم,15700000,فلنج,موتوژن,132.0,,آلومینیوم
104000210,فلنج موتوژن 160چدن,18000000,فلنج,موتوژن,160.0,,چدن
10400029,فلنج موتوژن 160 آلومینیوم,9000000,فلنج,موتوژن,160.0,,آلومینیوم
104000214,فلنج موتوژن 180 چدن,0,فلنج,موتوژن,180.0,,چدن
104000230,فلنج 5.5 اسب موتوژن پوسته چدن,6700000,فلنج,موتوژن,,5.5,چدن
104000228,فلنج 10HP ژن پوسته چدن,18000000,فلنج,موتوژن,,10.0,چدن
104000222,فلنج 15 اسب ژن پوسته چدن,24000000,فلنج,موتوژن,,15.0,چدن
104000216,فلنج 30 اسب موتوژن پوسته چدن,23500000,فلنج,موتوژن,,30.0,چدن
104000231,فلنج 40HPموتوژن پوسته چدن,36000000,فلنج,موتوژن,,40.0,چدن
104000246,فلنج 60 اسب موتوژن,0,فلنج,موتوژن,,60.0,آلومینیوم
104000229,فلنج 100اسب سفارشی,0,فلنج,موتوژن,,100.0,آلومینیوم
104000241,نیم فلنج 63 موتوژن,1600000,نیم‌فلنج,موتوژن,63.0,,آلومینیوم
104000242,نیم فلنج 71 موتوژن,2950000,نیم‌فلنج,موتوژن,71.0,,آلومینیوم
104000243,نیم فلنج 80 موتوژن,2400000,نیم‌فلنج,موتوژن,80.0,,آلومینیوم
104000217,نیم فلنج 90 موتوژن,5150000,نیم‌فلنج,موتوژن,90.0,,آلومینیوم
104000244,نیم فلنج 100 موتوژن,5150000,نیم‌فلنج,موتوژن,100.0,,آلومینیوم
104000247,نیم فلنج 112 موتوژن,30000000,نیم‌فلنج,موتوژن,112.0,,آلومینیوم
