sku,name,price,product_type,gearbox_type,size,flange_length,body_material
10000061,فلنج خروجی گیربکس مکعبی 30,2200000,فلنج خروجی,مکعبی,30,استاندارد,آلومینیوم
10000063,فلنج خروجی گیربکس مکعبی 40بلند,4000000,فلنج خروجی,مکعبی,40,بلند,آلومینیوم
10000062,فلنج خروجی گیربکس مکعبی 40کوتاه,3300000,فلنج خروجی,مکعبی,40,کوتاه,آلومینیوم
100000616,فلنج خروجی گیربگس مکعبی50 بلند,6800000,فلنج خروجی,مکعبی,50,بلند,آلومینیوم
10000064,فلنج خروجی گیربکس مکعبی 50 کوتاه,4800000,فلنج خروجی,مکعبی,50,کوتاه,آلومینیوم
100000610,فلنج خروجی گیربکس مکعبی 63 بلند,6200000,فلنج خروجی,مکعبی,63,بلند,آلومینیوم
100000617,فلنج خروجی گیربکس مکعبی 63 کوتاه چدن,0,فلنج خروجی,مکعبی,63,کوتاه,چدن
10000065,فلنج خروجی گیربکس مکعبی 63 کوتاه,5100000,فلنج خروجی,مکعبی,63,کوتاه,آلومینیوم
10000066,فلنج خروجی گیربکس مکعبی 75,9000000,فلنج خروجی,مکعبی,75,استاندارد,آلومینیوم
10000067,فلنج خروجی گیربکس مکعبی 80,0,فلنج خروجی,مکعبی,80,استاندارد,آلومینیوم
100000611,فلنج خروجی گیربکس مکعبی 90,9400000,فلنج خروجی,مکعبی,90,استاندارد,آلومینیوم
10000068,فلنج خروجی گیربکس مکعبی 110,20000000,فلنج خروجی,مکعبی,110,استاندارد,آلومینیوم
10000069,فلنج خروجی گیربکس مکعبی 130,26000000,فلنج خروجی,مکعبی,130,استاندارد,آلومینیوم
