sku,name,price,phase,body_material,rpm,hp,mounting_type
10100055,موتور 1400-0.5HP -تکفاز پوسته چدنی,39000000,تک‌فاز,چدن,1400,0.5,
10100056,موتور 1400-0.55kw -تکفاز پوسته چدنی,150000000,تک‌فاز,چدن,1400,0.74,
10100057,موتور 1400-1HP -تکفاز پوسته چدنی,160000000,تک‌فاز,چدن,1400,1.0,
10100058,موتور 1400-1.5HP -تکفاز پوسته چدنی,185000000,تک‌فاز,چدن,1400,1.5,
10100059,موتور 1400-2HP -تکفاز پوسته چدنی,230000000,تک‌فاز,چدن,1400,2.0,
101000510,موتور 1400-3HP -تکفاز پوسته چدنی,270000000,تک‌فاز,چدن,1400,3.0,
101000515,موتور 3000-0.5HP -تکفاز پوسته چدنی,34000000,تک‌فاز,چدن,3000,0.5,
101000516,موتور 3000-0.55kw -تکفاز پوسته چدنی,120000000,تک‌فاز,چدن,3000,0.74,
101000517,موتور 3000-1HP -تکفاز پوسته چدنی,147000000,تک‌فاز,چدن,3000,1.0,
101000518,موتور 3000-1.5HP -تکفاز پوسته چدنی,163000000,تک‌فاز,چدن,3000,1.5,
101000519,موتور 3000-2HP -تکفاز پوسته چدنی,195000000,تک‌فاز,چدن,3000,2.0,
101000520,موتور 3000-3HP -تکفاز پوسته چدنی,235000000,تک‌فاز,چدن,3000,3.0,
101000521,موتور 3000-4HP -تکفاز پوسته چدنی,0,تک‌فاز,چدن,3000,4.0,
101000522,موتور 4HP-1400 تکفاز پوسته چدنی,0,تک‌فاز,چدن,1400,4.0,
