sku,name,price,phase,body_material,rpm,hp,mounting_type
10100021,موتور1400-0.09kw -پوسته آلومینیومB35,0,سه‌فاز,آلومینیوم,1400,0.12,B35
10100022,موتور1400-0.12kw -پوسته آلومینیومB35,53000000,سه‌فاز,آلومینیوم,1400,0.16,B35
10100023,موتور1400-0.18kw -پوسته آلومینیومB35,72000000,سه‌فاز,آلومینیوم,1400,0.24,B35
10100024,موتور 0.25kw-1400پوسته آلومینیوم B35,72000000,سه‌فاز,آلومینیوم,1400,0.34,B35
10100025,موتور1400-0.5HP -پوسته آلومینیومB35,90000000,سه‌فاز,آلومینیوم,1400,0.5,B35
10100026,موتور 0.55kw-1400پوسته آلومینیوم B35,110000000,سه‌فاز,آلومینیوم,1400,0.74,B35
10100027,موتور1400-1HP -پوسته آلومینیومB35,115000000,سه‌فاز,آلومینیوم,1400,1.0,B35
10100028,موتور1400-1.5HP -پوسته آلومینیومB35,135000000,سه‌فاز,آلومینیوم,1400,1.5,B35
10100029,موتور1400-2HP -پوسته آلومینیومB35,150000000,سه‌فاز,آلومینیوم,1400,2.0,B35
101000210,موتور1400-3HP -پوسته آلومینیومB35,230000000,سه‌فاز,آلومینیوم,1400,3.0,B35
101000211,موتور1400-4HP -پوسته آلومینیومB35,260000000,سه‌فاز,آلومینیوم,1400,4.0,B35
101000212,موتور1400-5.5HP -پوسته آلومینیومB35,320000000,سه‌فاز,آلومینیوم,1400,5.5,B35
101000213,موتور1400-7.5HP -پوسته آلومینیومB35,413000000,سه‌فاز,آلومینیوم,1400,7.5,B35
101000214,موتور1400-10HP -پوسته آلومینیومB35,480000000,سه‌فاز,آلومینیوم,1400,10.0,B35
101000215,موتور1400-15HP -پوسته آلومینیومB35,143000000,سه‌فاز,آلومینیوم,1400,15.0,B35
101000216,موتور1400-20HP -پوسته آلومینیومB35,0,سه‌فاز,آلومینیوم,1400,20.0,B35
101000217,موتور1400-25HP -پوسته آلومینیومB35,0,سه‌فاز,آلومینیوم,1400,25.0,B35
101000218,موتور1400-30HP -پوسته آلومینیومB35,0,سه‌فاز,آلومینیوم,1400,30.0,B35
101000219,موتور1400-40HP -پوسته آلومینیومB35,0,سه‌فاز,آلومینیوم,1400,40.0,B35
101000220,موتور1400-50HP -پوسته آلومینیومB35,0,سه‌فاز,آلومینیوم,1400,50.0,B35
101000221,موتور1400-60HP -پوسته آلومینیومB35,0,سه‌فاز,آلومینیوم,1400,60.0,B35
101000222,موتور1400-75HP -پوسته آلومینیومB35,0,سه‌فاز,آلومینیوم,1400,75.0,B35
101000223,موتور1400-100HP -پوسته آلومینیومB35,0,سه‌فاز,آلومینیوم,1400,100.0,B35
101000224,موتور1400-125HP -پوسته آلومینیومB35,0,سه‌فاز,آلومینیوم,1400,125.0,B35
101000225,موتور1400-150HP -پوسته آلومینیومB35,0,سه‌فاز,آلومینیوم,1400,150.0,B35
101000226,موتور 3000-0.09kw -پوسته آلومینیومB35,0,سه‌فاز,آلومینیوم,3000,0.12,B35
101000227,موتور 3000-0.12kw -پوسته آلومینیومB35,0,سه‌فاز,آلومینیوم,3000,0.16,B35
101000228,موتور 3000-0.18kw -پوسته آلومینیومB35,13800000,سه‌فاز,آلومینیوم,3000,0.24,B35
101000229,موتور 0.25kw-3000پوسته آلومینیوم B35,0,سه‌فاز,آلومینیوم,3000,0.34,B35
101000230,موتور3000-0.5HP -پوسته آلومینیومB35,0,سه‌فاز,آلومینیوم,3000,0.5,B35
101000231,موتور 0.55kw-3000پوسته آلومینیوم B35,0,سه‌فاز,آلومینیوم,3000,0.74,B35
101000232,موتور 3000-1HP -پوسته آلومینیومB35,0,سه‌فاز,آلومینیوم,3000,1.0,B35
