sku,name,price,phase,body_material,rpm,hp,mounting_type
10100034,موتور 1400-1HP -پوسته چدنی,113000000,سه‌فاز,چدن,1400.0,1.0,
10100035,موتور 1400-1.5HP -پوسته چدنی,128000000,سه‌فاز,چدن,1400.0,1.5,
10100036,موتور 1400-2HP -پوسته چدنی,140000000,سه‌فاز,چدن,1400.0,2.0,
10100037,موتور 1400-3HP -پوسته چدنی,200000000,سه‌فاز,چدن,1400.0,3.0,
10100038,موتور 1400-4HP -پوسته چدنی,230000000,سه‌فاز,چدن,1400.0,4.0,
10100039,موتور 1400-5.5HP -پوسته چدنی,290000000,سه‌فاز,چدن,1400.0,5.5,
101000310,موتور 1400-7.5HP -پوسته چدنی,370000000,سه‌فاز,چدن,1400.0,7.5,
101000311,موتور 1400-10HP -پوسته چدنی,440000000,سه‌فاز,چدن,1400.0,10.0,
101000312,موتور 1400-15HP -پوسته چدنی,650000000,سه‌فاز,چدن,1400.0,15.0,
101000313,موتور 1400-20HP -پوسته چدنی,780000000,سه‌فاز,چدن,1400.0,20.0,
101000314,موتور 1400-25HP -پوسته چدنی,475000000,سه‌فاز,چدن,1400.0,25.0,
101000315,موتور 1400-30HP -پوسته چدنی,1000000000,سه‌فاز,چدن,1400.0,30.0,
101000316,موتور 1400-40HP -پوسته چدنی,1450000000,سه‌فاز,چدن,1400.0,40.0,
101000317,موتور 1400-50HP -پوسته چدنی,1740000000,سه‌فاز,چدن,1400.0,50.0,
101000318,موتور 1400-60HP -پوسته چدنی,2000000000,سه‌فاز,چدن,1400.0,60.0,
101000319,موتور 1400-75HP -پوسته چدنی,2350000000,سه‌فاز,چدن,1400.0,75.0,
101000320,موتور 1400-100HP -پوسته چدنی,2980000000,سه‌فاز,چدن,1400.0,100.0,
101000321,موتور 3000-0.09kw -پوسته چدنی,0,سه‌فاز,چدن,3000.0,0.12,
101000327,موتور 3000-1HP -پوسته چدنی,107000000,سه‌فاز,چدن,3000.0,1.0,
101000328,موتور 3000-1.5HP -پوسته چدنی,120000000,سه‌فاز,چدن,3000.0,1.5,
101000329,موتور 3000-2HP -پوسته چدنی,130000000,سه‌فاز,چدن,3000.0,2.0,
101000330,موتور 3000-3HP -پوسته چدنی,160000000,سه‌فاز,چدن,3000.0,3.0,
101000331,موتور 3000-4HP -پوسته چدنی,200000000,سه‌فاز,چدن,3000.0,4.0,
101000332,موتور 3000-5.5HP -پوسته چدنی,270000000,سه‌فاز,چدن,3000.0,5.5,
101000333,موتور 3000-7.5HP -پوسته چدنی,375000000,سه‌فاز,چدن,3000.0,7.5,
101000334,موتور 3000-10HP -پوسته چدنی,400000000,سه‌فاز,چدن,3000.0,10.0,
101000335,موتور 3000-15HP -پوسته چدنی,670000000,سه‌فاز,چدن,3000.0,15.0,
101000336,موتور 3000-20HP -پوسته چدنی,720000000,سه‌فاز,چدن,3000.0,20.0,
101000337,موتور 3000-25HP -پوسته چدنی,795000000,سه‌فاز,چدن,3000.0,25.0,
101000338,موتور 3000-30HP -پوسته چدنی,970000000,سه‌فاز,چدن,3000.0,30.0,
101000339,موتور 3000-40HP -پوسته چدنی,1360000000,سه‌فاز,چدن,3000.0,40.0,
101000340,موتور 3000-50HP -پوسته چدنی,1500000000,سه‌فاز,چدن,3000.0,50.0,
101000341,موتور 3000-60HP -پوسته چدنی,1800000000,سه‌فاز,چدن,3000.0,60.0,
101000342,موتور 3000-75HP -پوسته چدنی,660000000,سه‌فاز,چدن,3000.0,75.0,
101000343,موتور 3000-100HP -پوسته چدنی,860000000,سه‌فاز,چدن,3000.0,100.0,
101000344,موتور 1000-0.09kw -پوسته چدنی,0,سه‌فاز,چدن,1000.0,0.12,
101000346,موتور 1000-0.18kw -پوسته چدنی,0,سه‌فاز,چدن,1000.0,0.24,
101000350,موتور 1000-1HP -پوسته چدنی,140000000,سه‌فاز,چدن,1000.0,1.0,
101000351,موتور 1000-1.5HP -پوسته چدنی,160000000,سه‌فاز,چدن,1000.0,1.5,
101000352,موتور 1000-2HP -پوسته چدنی,200000000,سه‌فاز,چدن,1000.0,2.0,
101000353,موتور 1000-3HP -پوسته چدنی,250000000,سه‌فاز,چدن,1000.0,3.0,
101000354,موتور 1000-4HP -پوسته چدنی,350000000,سه‌فاز,چدن,1000.0,4.0,
101000355,موتور 1000-5.5HP -پوسته چدنی,370000000,سه‌فاز,چدن,1000.0,5.5,
101000356,موتور 1000-7.5HP -پوسته چدنی,450000000,سه‌فاز,چدن,1000.0,7.5,
101000357,موتور 1000-10HP -پوسته چدنی,635000000,سه‌فاز,چدن,1000.0,10.0,
101000358,موتور 1000-15HP -پوسته چدنی,750000000,سه‌فاز,چدن,1000.0,15.0,
101000359,موتور 1000-20HP -پوسته چدنی,980000000,سه‌فاز,چدن,1000.0,20.0,
101000360,موتور 1000-25HP -پوسته چدنی,1240000000,سه‌فاز,چدن,1000.0,25.0,
101000361,موتور 1000-30HP -پوسته چدنی,1320000000,سه‌فاز,چدن,1000.0,30.0,
101000362,موتور 1000-40HP -پوسته چدنی,2120000000,سه‌فاز,چدن,1000.0,40.0,
101000363,موتور 1000-50HP -پوسته چدنی,2500000000,سه‌فاز,چدن,1000.0,50.0,
101000364,موتور 1000-60HP -پوسته چدنی,3150000000,سه‌فاز,چدن,1000.0,60.0,
101000365,موتور 1000-75HP -پوسته چدنی,3370000000,سه‌فاز,چدن,1000.0,75.0,
101000366,موتور 1000-100HP -پوسته چدنی,6050000000,سه‌فاز,چدن,1000.0,100.0,
101000367,موتور 750-0.09kw -پوسته چدنی,0,سه‌فاز,چدن,750.0,0.12,
101000389,موتور 1400-125HP -پوسته چدنی,3350000000,سه‌فاز,چدن,1400.0,125.0,
101000391,موتور 1000-180HP- پوسته چدنی,1230000000,سه‌فاز,چدن,1000.0,180.0,
101000392,موتور 1400-150HP- پوسته چدنی,5800000000,سه‌فاز,چدن,1400.0,150.0,
101000393,موتور 3000-125HP - پوسته چدنی,700000000,سه‌فاز,چدن,3000.0,125.0,
101000394,موتور 1400-4HP -پوسته چدنی فلنج دار,0,سه‌فاز,چدن,1400.0,4.0,B5
101000395,موتور 3000-180HP - پوسته چدنی,0,سه‌فاز,چدن,3000.0,180.0,
101000396,موتور 270HP-1400 - پوسته چدنی,7700000000,سه‌فاز,چدن,1400.0,270.0,
101000397,موتور 1400-220HP- پوسته چدنی,3635000000,سه‌فاز,چدن,1400.0,220.0,
101000398,موتور 1000-125HP -پوسته چدنی,7500000000,سه‌فاز,چدن,1000.0,125.0,
101000399,موتور 1400-340HP -پوسته چدنی,0,سه‌فاز,چدن,1400.0,340.0,
1010003100,موتور 1400-180HP -پوسته چدنی,6300000000,سه‌فاز,چدن,1400.0,180.0,
1010003101,موتور 1400-430HP -پوسته چدنی,0,سه‌فاز,چدن,1400.0,430.0,
1010003102,موتور3000-270HP-پوسته چدنی,0,سه‌فاز,چدن,3000.0,270.0,
1010003103,موتور700 - 3HP - پوسته چدنی,0,سه‌فاز,چدن,700.0,3.0,
1010003104,الکترو موتور,60000000,سه‌فاز,چدن,,,
