sku,name,price,gearbox_type,size,input_frame,ratio
10000021,مکعبی تیپ 30فریم 63نسبت7.5,43000000,مکعبی,30,63,7.5
10000022,مکعبی تیپ 30فریم 63نسبت 10,0,مکعبی,30,63,10
10000023,مکعبی تیپ 30فریم 63نسبت 15,0,مکعبی,30,63,15
10000024,مکعبی تیپ 30فریم 63نسبت 20,0,مکعبی,30,63,20
10000025,مکعبی تیپ 30فریم 63نسبت 25,43000000,مکعبی,30,63,25
10000026,مکعبی تیپ 30فریم 63نسبت 30,0,مکعبی,30,63,30
10000027,مکعبی تیپ 30فریم 63نسبت 40,43000000,مکعبی,30,63,40
10000028,مکعبی تیپ 30فریم 63نسبت 50,43000000,مکعبی,30,63,50
10000029,مکعبی تیپ 30فریم 63نسبت 60,0,مکعبی,30,63,60
100000210,مکعبی تیپ 30فریم 63نسبت 80,0,مکعبی,30,63,80
100000211,مکعبی تیپ 30فریم 63نسبت 100,0,مکعبی,30,63,100
100000212,مکعبی تیپ 30فریم 56نسبت 7.5,0,مکعبی,30,56,7.5
100000213,مکعبی تیپ 30فریم 56نسبت 10,0,مکعبی,30,56,10
100000214,مکعبی تیپ 30فریم 56نسبت 15,0,مکعبی,30,56,15
100000215,مکعبی تیپ 30فریم 56نسبت 20,0,مکعبی,30,56,20
100000216,مکعبی تیپ 30فریم 56نسبت 25,0,مکعبی,30,56,25
100000217,مکعبی تیپ 30فریم 56نسبت 30,0,مکعبی,30,56,30
100000218,مکعبی تیپ 30فریم 56نسبت 40,0,مکعبی,30,56,40
100000219,مکعبی تیپ 30فریم 56نسبت 50,0,مکعبی,30,56,50
100000220,مکعبی تیپ 30فریم 56نسبت 60,0,مکعبی,30,56,60
100000221,مکعبی تیپ 30فریم 56نسبت 80,0,مکعبی,30,56,80
100000222,مکعبی تیپ 30فریم 56نسبت 100,0,مکعبی,30,56,100
100000223,مکعبی تیپ 40فریم 71نسبت 7.5,0,مکعبی,40,71,7.5
100000224,مکعبی تیپ 40فریم 71نسبت 10,0,مکعبی,40,71,10
100000225,مکعبی تیپ 40فریم 71نسبت 15,52000000,مکعبی,40,71,15
100000226,مکعبی تیپ 40فریم 71نسبت 20,52000000,مکعبی,40,71,20
100000227,مکعبی تیپ 40فریم 71نسبت 25,52000000,مکعبی,40,71,25
100000228,مکعبی تیپ 40فریم 71نسبت 30,52000000,مکعبی,40,71,30
100000229,مکعبی تیپ 40فریم 71نسبت 40,52000000,مکعبی,40,71,40
100000230,مکعبی تیپ 40فریم 71نسبت 50,52000000,مکعبی,40,71,50
100000231,مکعبی تیپ 40فریم 71نسبت 60,52000000,مکعبی,40,71,60
100000232,مکعبی تیپ 40فریم 71نسبت 80,52000000,مکعبی,40,71,80
100000233,مکعبی تیپ 40فریم 71نسبت 100,52000000,مکعبی,40,71,100
100000234,مکعبی تیپ 40فریم 63نسبت 7.5,0,مکعبی,40,63,7.5
100000235,مکعبی تیپ 40فریم 63نسبت 10,0,مکعبی,40,63,10
100000236,مکعبی تیپ 40فریم 63نسبت 15,0,مکعبی,40,63,15
100000237,مکعبی تیپ 40فریم 63نسبت 20,0,مکعبی,40,63,20
100000238,مکعبی تیپ 40فریم 63نسبت 25,0,مکعبی,40,63,25
100000239,مکعبی تیپ 40فریم 63نسبت 30,0,مکعبی,40,63,30
100000240,مکعبی تیپ 40فریم 63نسبت 40,0,مکعبی,40,63,40
100000241,مکعبی تیپ 40فریم 63نسبت 50,0,مکعبی,40,63,50
100000242,مکعبی تیپ 40فریم 63نسبت 60,0,مکعبی,40,63,60
100000243,مکعبی تیپ 40فریم 63نسبت 80,0,مکعبی,40,63,80
100000244,مکعبی تیپ 40فریم 63نسبت 100,52000000,مکعبی,40,63,100
100000245,مکعبی تیپ 50فریم 80نسبت 7.5,0,مکعبی,50,80,7.5
100000246,مکعبی تیپ 50فریم 80نسبت 10,0,مکعبی,50,80,10
100000247,مکعبی تیپ 50فریم 80نسبت 15,70000000,مکعبی,50,80,15
100000248,مکعبی تیپ 50فریم 80نسبت 20,0,مکعبی,50,80,20
100000249,مکعبی تیپ 50فریم 80نسبت 25,70000000,مکعبی,50,80,25
100000250,مکعبی تیپ 50فریم 80نسبت 30,70000000,مکعبی,50,80,30
100000251,مکعبی تیپ 50فریم 80نسبت 40,70000000,مکعبی,50,80,40
100000252,مکعبی تیپ 50فریم 80نسبت 50,70000000,مکعبی,50,80,50
100000253,مکعبی تیپ 50فریم 80نسبت 60,0,مکعبی,50,80,60
100000254,مکعبی تیپ 50فریم 80نسبت 80,70000000,مکعبی,50,80,80
100000255,مکعبی تیپ 50فریم 80نسبت 100,70000000,مکعبی,50,80,100
100000256,مکعبی تیپ 50فریم 71نسبت 7.5,70000000,مکعبی,50,71,7.5
100000257,مکعبی تیپ 50فریم 71نسبت 10,70000000,مکعبی,50,71,10
100000258,مکعبی تیپ 50فریم 71نسبت 15,70000000,مکعبی,50,71,15
100000259,مکعبی تیپ 50فریم 71نسبت 20,70000000,مکعبی,50,71,20
100000260,مکعبی تیپ 50فریم 71نسبت 25,0,مکعبی,50,71,25
100000261,مکعبی تیپ 50فریم 71نسبت 30,70000000,مکعبی,50,71,30
100000262,مکعبی تیپ 50فریم 71نسبت 40,70000000,مکعبی,50,71,40
100000263,مکعبی تیپ 50فریم 71نسبت 50,0,مکعبی,50,71,50
100000264,مکعبی تیپ 50فریم 71نسبت 60,0,مکعبی,50,71,60
100000265,مکعبی تیپ 50فریم 71نسبت 80,0,مکعبی,50,71,80
100000266,مکعبی تیپ 50فریم 71نسبت 100,0,مکعبی,50,71,100
100000267,مکعبی تیپ 63فریم 90نسبت 7.5,0,مکعبی,63,90,7.5
100000268,مکعبی تیپ 63فریم 90نسبت 10,95000000,مکعبی,63,90,10
100000269,مکعبی تیپ 63فریم 90نسبت 15,0,مکعبی,63,90,15
100000270,مکعبی تیپ 63فریم 90نسبت 20,95000000,مکعبی,63,90,20
100000271,مکعبی تیپ 63فریم 90نسبت 25,95000000,مکعبی,63,90,25
100000272,مکعبی تیپ 63فریم 90نسبت 30,95000000,مکعبی,63,90,30
100000273,مکعبی تیپ 63فریم 90نسبت 40,95000000,مکعبی,63,90,40
100000274,مکعبی تیپ 63فریم 90نسبت 50,95000000,مکعبی,63,90,50
100000275,مکعبی تیپ 63فریم 90نسبت 60,47000000,مکعبی,63,90,60
100000276,مکعبی تیپ 63فریم 90نسبت 80,0,مکعبی,63,90,80
100000277,مکعبی تیپ 63فریم 90نسبت 100,0,مکعبی,63,90,100
100000278,مکعبی تیپ 63فریم 80نسبت 7.5,0,مکعبی,63,80,7.5
100000279,مکعبی تیپ 63فریم 80نسبت 10,0,مکعبی,63,80,10
