sku,name,price,gearbox_type,size,model,input_type,mounting_type
10000011,حلزونی تیپ 44-مدلVF-N/A/P,0,حلزونی,44,VF-N/A/P,شافت‌دار,پایه‌دار (N/A/P)
10000012,حلزونی تیپ 49-مدلVF-N/A/P,0,حلزونی,49,VF-N/A/P,شافت‌دار,پایه‌دار (N/A/P)
10000013,حلزونی تیپ 62-مدلVF-N/A/P,65000000,حلزونی,62,VF-N/A/P,شافت‌دار,پایه‌دار (N/A/P)
10000014,حلزونی تیپ 86-مدلVF-N/A/P,77000000,حلزونی,86,VF-N/A/P,شافت‌دار,پایه‌دار (N/A/P)
10000015,حلزونی تیپ 110-مدلVF-N/A/P,130000000,حلزونی,110,VF-N/A/P,شافت‌دار,پایه‌دار (N/A/P)
10000016,حلزونی تیپ 130-مدلVF-N/A/P,0,حلزونی,130,VF-N/A/P,شافت‌دار,پایه‌دار (N/A/P)
10000017,حلزونی تیپ 150-مدلVF-N/A/P,0,حلزونی,150,VF-N/A/P,شافت‌دار,پایه‌دار (N/A/P)
10000018,حلزونی تیپ 185-مدلVF-N/A/P,0,حلزونی,185,VF-N/A/P,شافت‌دار,پایه‌دار (N/A/P)
10000019,حلزونی تیپ 210-مدلVF-N/A/P,0,حلزونی,210,VF-N/A/P,شافت‌دار,پایه‌دار (N/A/P)
100000110,حلزونی تیپ 250-مدلVF-N/A/P,0,حلزونی,250,VF-N/A/P,شافت‌دار,پایه‌دار (N/A/P)
100000111,حلزونی تیپ 300-مدلVF-N/A/P,0,حلزونی,300,VF-N/A/P,شافت‌دار,پایه‌دار (N/A/P)
100000112,حلزونی تیپ 30-مدلMVF-N/A/P,0,حلزونی,30,MVF-N/A/P,فلنج‌دار,پایه‌دار (N/A/P)
100000113,حلزونی تیپ 44-مدلMVF-N/A/P,0,حلزونی,44,MVF-N/A/P,فلنج‌دار,پایه‌دار (N/A/P)
100000114,حلزونی تیپ 49-مدلMVF-N/A/P,0,حلزونی,49,MVF-N/A/P,فلنج‌دار,پایه‌دار (N/A/P)
100000115,حلزونی تیپ 62-مدلMVF-N/A/P,75000000,حلزونی,62,MVF-N/A/P,فلنج‌دار,پایه‌دار (N/A/P)
100000116,حلزونی تیپ 86-مدلMVF-N/A/P,95000000,حلزونی,86,MVF-N/A/P,فلنج‌دار,پایه‌دار (N/A/P)
100000117,حلزونی تیپ 110-مدلMVF-N/A/P,160000000,حلزونی,110,MVF-N/A/P,فلنج‌دار,پایه‌دار (N/A/P)
