sku,name,price,product_type,brand,hp,outlet_size_inch,phase,features
10200012,1 اینچ پمپ چینی 0.5HP بشقابی,110000000,بشقابی,چینی,0.5,1.0,,
10200013,1 اینچ پمپ چینی بشقابی 1HP,125000000,بشقابی,چینی,1.0,1.0,,
10200014,پمپ چینی 1HP دوپروانه,0,دو پروانه,چینی,1.0,,,
10200015,1 اینچ پمپ چینی بشقابی 1.5HP,0,بشقابی,چینی,1.5,1.0,,
10200016,1 اینچ پمپ چینی بشقابی 1.5HP دوپروانه,190000000,بشقابی دو پروانه,چینی,1.5,1.0,,
10200018,1 اینچ پمپ چینی 2HP دوپروانه,200000000,دو پروانه,چینی,2.0,1.0,,
10200019,پمپ چینی 3HP بشقابی,0,بشقابی,چینی,3.0,,,
102000110,1 اینچ پمپ چینی 4HP بشقابی,0,بشقابی,چینی,4.0,1.0,,
102000111,پمپ چینی 5.5HP بشقابی,0,بشقابی,چینی,5.5,,,
102000112,پمپ چینی 1HP 2 اینچ,0,,چینی,1.0,2.0,,
102000113,پمپ چینی 1.5HP 2 اینچ,150000000,,چینی,1.5,2.0,,
102000114,پمپ چینی 2HP 2 اینچ,150000000,,چینی,2.0,2.0,,
102000115,پمپ چینی 3HP 2 اینچ,0,,چینی,3.0,2.0,,
102000116,پمپ چینی 3HP 3 اینچ,0,,چینی,3.0,3.0,,
102000117,پمپ چینی 4HP 3 اینچ,0,,چینی,4.0,3.0,,
102000118,پمپ چینی 4HP 4 اینچ,200000000,,چینی,4.0,4.0,,
102000119,پمپ چینی 5.5HP 4 اینچ,0,,چینی,5.5,4.0,,
102000129,پمپ چینی 7.5HP 2 اینچ,0,,چینی,7.5,2.0,,
102000143,پمپ چینی 1HP-Pentax,0,,پنتاکس,1.0,,,
102000151,پمپ چینی متفرقه,0,,چینی,,,,
102000153,بشقابی پمپ 3HP 4 اینچ,200000000,بشقابی,,3.0,4.0,,
102000161,,0,,,,,,
102000184,1 اینچ پمپ چینی 0.5HP محیطی,70000000,محیطی,چینی,0.5,1.0,,
102000188,پمپ چینی 3HP 1 اینچ,0,,چینی,3.0,1.0,,
102000191,1 اینچ محیطی پمپ چینی 1HP,100000000,محیطی,چینی,1.0,1.0,,
102000199,پمپ 2HP 3 اینچ,200000000,,,2.0,3.0,,
1020001102,1 اینچ پمپ چینی 1HP جتی کله استیل,150000000,جتی,چینی,1.0,1.0,,کله استیل
1020001104,پمپ چینی 5.5HP 2 اینچ,0,,چینی,5.5,2.0,,
1020001105,پمپ چینی 2HP 2 اینچ-,0,,چینی,2.0,2.0,,
1020001106,پمپ چینی 2HP 2 اینچ-,0,,چینی,2.0,2.0,,
1020001108,پمپ چینی 1HP با منبع و اتوماتیک,0,,چینی,1.0,,,اتوماتیک، با منبع
1020001109,پمپ چینی 1HP بدون واسطه,80000000,,چینی,1.0,,,بدون واسطه
1020001111,بشقابی پمپ چینی 10HP 2 اینچ,0,بشقابی,چینی,10.0,2.0,,
1020001112,الکتروپمپ QB60 0.5HP,70000000,,,0.5,,,مدل QB60
1020001114,بشقابی پمپ چینی 1HP 1.5 اینچ,130000000,بشقابی,چینی,1.0,1.5,,
1020001115,1 اینچ بشقابی پمپ چینی 3HP دو پروانه,250000000,بشقابی دو پروانه,چینی,3.0,1.0,,
1020001119,ساید چنل,0,ساید چنل,,,,,
1020001123,پمپ چینی 10HP 3 اینچ,0,,چینی,10.0,3.0,,
1020001124,پمپ چینی 5.5HP 3 اینچ,0,,چینی,5.5,3.0,,
1020001125,پمپ آب 2 اینچ,0,,,,2.0,,
1020001126,پمپ چینی 7.5HP 3 اینچ,0,,چینی,7.5,3.0,,
1020001130,پمپ 3HP 3 اینچ,0,,,3.0,3.0,,
1020001133,پمپ 2HP 4 اینچ,220000000,,,2.0,4.0,,
1020001135,پمپ چینی 10HP 4 اینچ,0,,چینی,10.0,4.0,,
1020001136,الکترو پمپ,0,,,,,,
