sku,name,price,product_type,outlet_size_inch,model
10200041,پمپ دنده ای 1 اینچ,0,پمپ دنده‌ای,1.0,
10200042,پمپ دنده ای 2 اینچ مدل CF6,0,پمپ دنده‌ای,2.0,CF6
10200043,پمپ دنده ای 3 اینچ,0,پمپ دنده‌ای,3.0,
10200044,پمپ دنده ای 4 اینچ,0,پمپ دنده‌ای,4.0,
10200045,پمپ دنده ای 1.25 اینچ,0,پمپ دنده‌ای,1.25,
10200046,پمپ دنده ای 1.25 اینچ,0,پمپ دنده‌ای,1.25,
10200047,پمپ دنده ای 1.5 اینچ,150000000,پمپ دنده‌ای,1.5,
10200048,پمپ دنده ای 2 اینچ مدل ZPG6,0,پمپ دنده‌ای,2.0,ZPG6
10200049,پمپ دنده ای 2 اینچ مدل MG6,0,پمپ دنده‌ای,2.0,MG6
102000410,پمپ دنده ای 2 اینچ,180000000,پمپ دنده‌ای,2.0,
