sku,name,price,product_type,outlet_size_inch,head_meter,floater
10200091,لجن کش 2 اینچ 16 متری فلوتردار,150000000,لجن‌کش,2.0,16.0,فلوتردار
10200092,لجن کش 3 اینچ,0,لجن‌کش,3.0,,
10200093,لجن کش 2 اینچ 14 متری,0,لجن‌کش,2.0,14.0,
10200094,لجن کش 2 اینچ 15 متری,0,لجن‌کش,2.0,15.0,
10200095,لجن کش 2 اینچ 20 متری,0,لجن‌کش,2.0,20.0,
10200096,لجن کش 2 اینچ 18 متری فلوتردار,0,لجن‌کش,2.0,18.0,فلوتردار
10200097,لجن کش 2 اینچ 18 متری,0,لجن‌کش,2.0,18.0,
102000913,لجن کش 2 اینچ 9 متری,0,لجن‌کش,2.0,9.0,
102000916,لجن کش 4 اینچ 17 متری,0,لجن‌کش,4.0,17.0,
102000917,لجن کش 2 اینچ 25 متری,0,لجن‌کش,2.0,25.0,
102000920,لجن کش 3 اینچ 15 متری,0,لجن‌کش,3.0,15.0,
102000921,لجن کش 2 اینچ 11 متری,0,لجن‌کش,2.0,11.0,
102000922,لجن کش 2 اینچ 10 متری,0,لجن‌کش,2.0,10.0,
102000923,لجن کش 3 اینچ 11 متری,200000000,لجن‌کش,3.0,11.0,
102000924,لجن کش 3 اینچ 18 متری,0,لجن‌کش,3.0,18.0,
