sku,name,price,product_type,outlet_size_inch,head_meter,floater,body_material,brand,voltage_phase
10200064,کفکش 1 اینچ 16 متری ساده,0,کف‌کش,1.0,16.0,ساده,,,
10200065,کفکش 1 اینچ 24 متری ساده,0,کف‌کش,1.0,24.0,ساده,,,
10200067,کفکش 1 اینچ 38 متری فلوتر دار,0,کف‌کش,1.0,38.0,فلوتردار,,,
10200068,کفکش 1 اینچ 45 متری ساده,0,کف‌کش,1.0,45.0,ساده,,,
102000610,کفکش 2 اینچ 34 متری,0,کف‌کش,2.0,34.0,,,,
102000611,کفکش 2 اینچ 44 متری,0,کف‌کش,2.0,44.0,,,,
102000613,کفکش 3 اینچ 15 متری,200000000,کف‌کش,3.0,15.0,,,,
102000616,کفکش 2 اینچ 22 متری ساده,0,کف‌کش,2.0,22.0,ساده,,,
102000617,کفکش 1.25 اینچ 50 متری,0,کف‌کش,1.25,50.0,,,,
102000618,کفکش 1.25 اینچ 60 متری,0,کف‌کش,1.25,60.0,,,,
102000619,کفکش 2 اینچ 28 متری فلوتر دار,200000000,کف‌کش,2.0,28.0,فلوتردار,,,
102000621,کفکش 3 اینچ 20 متری,0,کف‌کش,3.0,20.0,,,,
102000622,کفکش آبنما,0,آبنما,,,,,,
102000625,کفکش 2 اینچ 60 متری,0,کف‌کش,2.0,60.0,,,,
102000626,کفکش 2 اینچ 70 متری,0,کف‌کش,2.0,70.0,,,,
102000627,کفکش 2 اینچ 32 متری,0,کف‌کش,2.0,32.0,,,,
102000628,کفکش 3 اینچ 6 متری,0,کف‌کش,3.0,6.0,,,,
102000629,کفکش 1 اینچ 18 متری,0,کف‌کش,1.0,18.0,,,,
102000630,کفکش تمام استیل 1.25 اینچ 28 متری,0,کف‌کش,1.25,28.0,,تمام استیل,,
102000631,کفکش تمام استیل 1.25 اینچ 37 متری,0,کف‌کش,1.25,37.0,,تمام استیل,,
102000632,کفکش تمام استیل 1.25 اینچ 47 متری,0,کف‌کش,1.25,47.0,,تمام استیل,,
102000633,کفکش تمام استیل 1.25 اینچ 57 متری,0,کف‌کش,1.25,57.0,,تمام استیل,,
102000634,کفکش تمام استیل 1.25 اینچ 66 متری,0,کف‌کش,1.25,66.0,,تمام استیل,,
102000635,کفکش 4 اینچ 120 متری,0,کف‌کش,4.0,120.0,,,,
102000636,کفکش 4 اینچ 30 متری,0,کف‌کش,4.0,30.0,,,,
102000637,کفکش 1 اینچ 60 متری,0,کف‌کش,1.0,60.0,,,,
102000638,کفکش 2 اینچ 48 متری,0,کف‌کش,2.0,48.0,,,,
102000639,کفکش گازوئیل کش,0,گازوئیل‌کش,,,,,,
102000640,کفکش 3 اینچ 17 متری,0,کف‌کش,3.0,17.0,,,,
102000641,کفکش 1 اینچ 17 متری,90000000,کف‌کش,1.0,17.0,,,,
102000642,کفکش 3 اینچ 9 متری ساده,0,کف‌کش,3.0,9.0,ساده,,,
102000643,کفکش 2 اینچ 38 متری,0,کف‌کش,2.0,38.0,,,,
102000646,کفکش 1 اینچ 50 متری,0,کف‌کش,1.0,50.0,,,,
102000647,کفکش 3 اینچ 44 متری,0,کف‌کش,3.0,44.0,,,,
102000648,کفکش 2 اینچ 25 متری,0,کف‌کش,2.0,25.0,,,,
102000649,کفکش 1.25 اینچ 14 متری,0,کف‌کش,1.25,14.0,,,,
102000650,کفکش 2 اینچ 58 متری,0,کف‌کش,2.0,58.0,,,,
102000651,کفکش 1 اینچ 9 متری استیل سامر,90000000,کف‌کش,1.0,9.0,,استیل,سامر,
102000652,کفکش 2 اینچ 30 متری,0,کف‌کش,2.0,30.0,,,,
102000653,کفکش 2 اینچ 30 متری فلوتردار,0,کف‌کش,2.0,30.0,فلوتردار,,,
102000655,کفکش 1 اینچ 18 متری LOVA,0,کف‌کش,1.0,18.0,,,LOVA,
102000657,کفکش 3 اینچ 12 متری LOVA,0,کف‌کش,3.0,12.0,,,LOVA,
102000658,کفکش 1 اینچ 9 متری 12 ولت,90000000,کف‌کش,1.0,9.0,,,,12 ولت
102000659,کفکش 1 اینچ 25 متری ساده LOVA,0,کف‌کش,1.0,25.0,ساده,,LOVA,
102000660,کفکش 1 اینچ 25 متری فلوتر LOVA,0,کف‌کش,1.0,25.0,فلوتردار,,LOVA,
102000661,کفکش 2 اینچ 42 متری,0,کف‌کش,2.0,42.0,,,,
102000663,کفکش 2 اینچ 11 متری,0,کف‌کش,2.0,11.0,,,,
102000664,کفکش 1.25 اینچ 24 متری,0,کف‌کش,1.25,24.0,,,,
102000665,کفکش 1 اینچ 14 متری ساده,70000000,کف‌کش,1.0,14.0,ساده,,,
102000666,کفکش 1 اینچ 14 متری فلوتردار,0,کف‌کش,1.0,14.0,فلوتردار,,,
102000667,کفکش 1 اینچ 22 متری فلوتر دار,0,کف‌کش,1.0,22.0,فلوتردار,,,
102000668,کفکش 1 اینچ 22 متری ساده,0,کف‌کش,1.0,22.0,ساده,,,
102000669,کفکش 3 اینچ 9 متری فلوتردار,0,کف‌کش,3.0,9.0,فلوتردار,,,
102000670,کفکش 1 اینچ 24 متری فلوتر دار,0,کف‌کش,1.0,24.0,فلوتردار,,,
102000671,کفکش 2 اینچ 39 متری فلوتر دار,0,کف‌کش,2.0,39.0,فلوتردار,,,
102000672,کفکش 2 اینچ 50 متری فلوتر دار,0,کف‌کش,2.0,50.0,فلوتردار,,,
102000673,کفکش 2 اینچ 65 متری فلوتر دار,0,کف‌کش,2.0,65.0,فلوتردار,,,
102000676,کفکش 4 اینچ 10 متری lowa,0,کف‌کش,4.0,10.0,,,LOVA,
102000677,کفکش 1 اینچ 16 متری فلوتردار,0,کف‌کش,1.0,16.0,فلوتردار,,,
102000678,کفکش متفرقه,0,کف‌کش,,,,,,
102000679,کفکش چینی تکفاز 1 اینچ 65 متری,0,کف‌کش,1.0,65.0,,,چینی,تک‌فاز
102000680,کفکش 2 اینچ 9 متری 12 ولت,100000000,کف‌کش,2.0,9.0,,,,12 ولت
102000681,کفکش چینی مستعمل,0,کف‌کش,,,,,چینی,
102000683,کفکش 3 اینچ 7 متری,0,کف‌کش,3.0,7.0,,,,
102000684,کفکش 3 اینچ 18 متری,0,کف‌کش,3.0,18.0,,,,
102000685,کفکش 2 اینچ 18 متری,150000000,کف‌کش,2.0,18.0,,,,
102000686,کفکش 4 اینچ 6 متری,200000000,کف‌کش,4.0,6.0,,,,
102000687,کفکش 3 اینچ 30 متری,0,کف‌کش,3.0,30.0,,,,
102000688,کفکش 1 اینچ 12 متری فلوتردار,0,کف‌کش,1.0,12.0,فلوتردار,,,
102000689,کفکش 1 اینچ 12 متری ساده,0,کف‌کش,1.0,12.0,ساده,,,
102000690,کفکش 1 اینچ 32 متری فلوتردار,0,کف‌کش,1.0,32.0,فلوتردار,,,
102000691,کفکش 1 اینچ 32 متری ساده,150000000,کف‌کش,1.0,32.0,ساده,,,
102000692,کفکش 1 اینچ 45 متری فلوتردار,0,کف‌کش,1.0,45.0,فلوتردار,,,
102000693,کفکش 2 اینچ 16 متری فلوتردار,0,کف‌کش,2.0,16.0,فلوتردار,,,
